	sb6_B4	sb6_B5	sb6_B6	sb42_B4	sb42_B5	sb42_B6	sb41_B4	sb41_B5	sb41_B6	sb46_B4	sb46_B5	sb46_B6	sb48_B4	sb48_B5	sb48_B6	sb64_B4	sb64_B5	sb64_B6	sb112_B4	sb112_B5	sb112_B6	sb163_B4	sb163_B5	sb163_B6	sb181_B4	sb181_B5	sb181_B6	sb184_B4	sb184_B5	sb184_B6	sb196_B4	sb196_B5	sb196_B6	sb201_B4	sb201_B5	sb201_B6	sb212_B4	sb212_B5	sb212_B6	sb235_B4	sb235_B5	sb235_B6	sb258_B4	sb258_B5	sb258_B6	sb316_B4	sb316_B5	sb316_B6	sb325_B4	sb325_B5	sb325_B6	sb334_B4	sb334_B5	sb334_B6	sb337_B4	sb337_B5	sb337_B6	sb363_B4	sb363_B5	sb363_B6	sb366_B4	sb366_B5	sb366_B6	sb374_B4	sb374_B5	sb374_B6	sb375_B4	sb375_B5	sb375_B6	sb399_B4	sb399_B5	sb399_B6
sb112_B6	0.20886615	0.20886615	0.20886615	0.2529032	0.2529032	0.2529032	0.26256835	0.26256835	0.26256835	0.20813827	0.20813827	0.20813827	0.20242308	0.20242308	0.20242308	0.19511618	0.19511618	0.19511618	0	0	0	0.21314323	0.21314323	0.21314323	0.20010994	0.20010994	0.20010994	0.1963527	0.1963527	0.1963527	0.19641915	0.19641915	0.19641915	0.20090891	0.20090891	0.20090891	0.19941455	0.19941455	0.19941455	0.28737402	0.28737402	0.28737402	0.2134992	0.2134992	0.2134992	0.19987941	0.19987941	0.19987941	0.20661402	0.20661402	0.20661402	0.20694235	0.20694235	0.20694235	0.20224382	0.20224382	0.20224382	0.19869447	0.19869447	0.19869447	0.17594685	0.17594685	0.17594685	0.07465693	0.07465693	0.07465693	0.07448131	0.07448131	0.07448131	0.20248313	0.20248313	0.20248313
sb163_B4	0.045303732	0.045303732	0.045303732	0.28442585	0.28442585	0.28442585	0.29015625	0.29015625	0.29015625	0.15606815	0.15606815	0.15606815	0.15513551	0.15513551	0.15513551	0.18751448	0.18751448	0.18751448	0.21314323	0.21314323	0.21314323	0	0	0	0.21219133	0.21219133	0.21219133	0.19708759	0.19708759	0.19708759	0.20196584	0.20196584	0.20196584	0.21812966	0.21812966	0.21812966	0.16491607	0.16491607	0.16491607	0.3021623	0.3021623	0.3021623	0.059350926	0.059350926	0.059350926	0.21935637	0.21935637	0.21935637	0.22633387	0.22633387	0.22633387	0.15840746	0.15840746	0.15840746	0.21939695	0.21939695	0.21939695	0.21119253	0.21119253	0.21119253	0.18501943	0.18501943	0.18501943	0.2227809	0.2227809	0.2227809	0.21639986	0.21639986	0.21639986	0.1905558	0.1905558	0.1905558
sb163_B5	0.045303732	0.045303732	0.045303732	0.28442585	0.28442585	0.28442585	0.29015625	0.29015625	0.29015625	0.15606815	0.15606815	0.15606815	0.15513551	0.15513551	0.15513551	0.18751448	0.18751448	0.18751448	0.21314323	0.21314323	0.21314323	0	0	0	0.21219133	0.21219133	0.21219133	0.19708759	0.19708759	0.19708759	0.20196584	0.20196584	0.20196584	0.21812966	0.21812966	0.21812966	0.16491607	0.16491607	0.16491607	0.3021623	0.3021623	0.3021623	0.059350926	0.059350926	0.059350926	0.21935637	0.21935637	0.21935637	0.22633387	0.22633387	0.22633387	0.15840746	0.15840746	0.15840746	0.21939695	0.21939695	0.21939695	0.21119253	0.21119253	0.21119253	0.18501943	0.18501943	0.18501943	0.2227809	0.2227809	0.2227809	0.21639986	0.21639986	0.21639986	0.1905558	0.1905558	0.1905558
sb163_B6	0.045303732	0.045303732	0.045303732	0.28442585	0.28442585	0.28442585	0.29015625	0.29015625	0.29015625	0.15606815	0.15606815	0.15606815	0.15513551	0.15513551	0.15513551	0.18751448	0.18751448	0.18751448	0.21314323	0.21314323	0.21314323	0	0	0	0.21219133	0.21219133	0.21219133	0.19708759	0.19708759	0.19708759	0.20196584	0.20196584	0.20196584	0.21812966	0.21812966	0.21812966	0.16491607	0.16491607	0.16491607	0.3021623	0.3021623	0.3021623	0.059350926	0.059350926	0.059350926	0.21935637	0.21935637	0.21935637	0.22633387	0.22633387	0.22633387	0.15840746	0.15840746	0.15840746	0.21939695	0.21939695	0.21939695	0.21119253	0.21119253	0.21119253	0.18501943	0.18501943	0.18501943	0.2227809	0.2227809	0.2227809	0.21639986	0.21639986	0.21639986	0.1905558	0.1905558	0.1905558
sb181_B4	0.2079097	0.2079097	0.2079097	0.2826951	0.2826951	0.2826951	0.2857911	0.2857911	0.2857911	0.20167533	0.20167533	0.20167533	0.19733828	0.19733828	0.19733828	0.1676193	0.1676193	0.1676193	0.20010994	0.20010994	0.20010994	0.21219133	0.21219133	0.21219133	0	0	0	0.15856193	0.15856193	0.15856193	0.17327939	0.17327939	0.17327939	0.089408286	0.089408286	0.089408286	0.19818634	0.19818634	0.19818634	0.31455126	0.31455126	0.31455126	0.20987298	0.20987298	0.20987298	0.120029524	0.120029524	0.120029524	0.12409528	0.12409528	0.12409528	0.16157451	0.16157451	0.16157451	0.13113189	0.13113189	0.13113189	0.14891274	0.14891274	0.14891274	0.14352636	0.14352636	0.14352636	0.19676873	0.19676873	0.19676873	0.19854467	0.19854467	0.19854467	0.13857664	0.13857664	0.13857664
sb181_B5	0.2079097	0.2079097	0.2079097	0.2826951	0.2826951	0.2826951	0.2857911	0.2857911	0.2857911	0.20167533	0.20167533	0.20167533	0.19733828	0.19733828	0.19733828	0.1676193	0.1676193	0.1676193	0.20010994	0.20010994	0.20010994	0.21219133	0.21219133	0.21219133	0	0	0	0.15856193	0.15856193	0.15856193	0.17327939	0.17327939	0.17327939	0.089408286	0.089408286	0.089408286	0.19818634	0.19818634	0.19818634	0.31455126	0.31455126	0.31455126	0.20987298	0.20987298	0.20987298	0.120029524	0.120029524	0.120029524	0.12409528	0.12409528	0.12409528	0.16157451	0.16157451	0.16157451	0.13113189	0.13113189	0.13113189	0.14891274	0.14891274	0.14891274	0.14352636	0.14352636	0.14352636	0.19676873	0.19676873	0.19676873	0.19854467	0.19854467	0.19854467	0.13857664	0.13857664	0.13857664
sb181_B6	0.2079097	0.2079097	0.2079097	0.2826951	0.2826951	0.2826951	0.2857911	0.2857911	0.2857911	0.20167533	0.20167533	0.20167533	0.19733828	0.19733828	0.19733828	0.1676193	0.1676193	0.1676193	0.20010994	0.20010994	0.20010994	0.21219133	0.21219133	0.21219133	0	0	0	0.15856193	0.15856193	0.15856193	0.17327939	0.17327939	0.17327939	0.089408286	0.089408286	0.089408286	0.19818634	0.19818634	0.19818634	0.31455126	0.31455126	0.31455126	0.20987298	0.20987298	0.20987298	0.120029524	0.120029524	0.120029524	0.12409528	0.12409528	0.12409528	0.16157451	0.16157451	0.16157451	0.13113189	0.13113189	0.13113189	0.14891274	0.14891274	0.14891274	0.14352636	0.14352636	0.14352636	0.19676873	0.19676873	0.19676873	0.19854467	0.19854467	0.19854467	0.13857664	0.13857664	0.13857664
sb184_B4	0.19340634	0.19340634	0.19340634	0.27965617	0.27965617	0.27965617	0.28279972	0.28279972	0.28279972	0.19152376	0.19152376	0.19152376	0.19249552	0.19249552	0.19249552	0.14581487	0.14581487	0.14581487	0.1963527	0.1963527	0.1963527	0.19708759	0.19708759	0.19708759	0.15856193	0.15856193	0.15856193	0	0	0	0.17062484	0.17062484	0.17062484	0.16388154	0.16388154	0.16388154	0.19050601	0.19050601	0.19050601	0.3070859	0.3070859	0.3070859	0.19634666	0.19634666	0.19634666	0.16637552	0.16637552	0.16637552	0.17095399	0.17095399	0.17095399	0.17757936	0.17757936	0.17757936	0.16995971	0.16995971	0.16995971	0.17627253	0.17627253	0.17627253	0.16617796	0.16617796	0.16617796	0.20096824	0.20096824	0.20096824	0.19673224	0.19673224	0.19673224	0.16312172	0.16312172	0.16312172
sb184_B5	0.19340634	0.19340634	0.19340634	0.27965617	0.27965617	0.27965617	0.28279972	0.28279972	0.28279972	0.19152376	0.19152376	0.19152376	0.19249552	0.19249552	0.19249552	0.14581487	0.14581487	0.14581487	0.1963527	0.1963527	0.1963527	0.19708759	0.19708759	0.19708759	0.15856193	0.15856193	0.15856193	0	0	0	0.17062484	0.17062484	0.17062484	0.16388154	0.16388154	0.16388154	0.19050601	0.19050601	0.19050601	0.3070859	0.3070859	0.3070859	0.19634666	0.19634666	0.19634666	0.16637552	0.16637552	0.16637552	0.17095399	0.17095399	0.17095399	0.17757936	0.17757936	0.17757936	0.16995971	0.16995971	0.16995971	0.17627253	0.17627253	0.17627253	0.16617796	0.16617796	0.16617796	0.20096824	0.20096824	0.20096824	0.19673224	0.19673224	0.19673224	0.16312172	0.16312172	0.16312172
sb184_B6	0.19340634	0.19340634	0.19340634	0.27965617	0.27965617	0.27965617	0.28279972	0.28279972	0.28279972	0.19152376	0.19152376	0.19152376	0.19249552	0.19249552	0.19249552	0.14581487	0.14581487	0.14581487	0.1963527	0.1963527	0.1963527	0.19708759	0.19708759	0.19708759	0.15856193	0.15856193	0.15856193	0	0	0	0.17062484	0.17062484	0.17062484	0.16388154	0.16388154	0.16388154	0.19050601	0.19050601	0.19050601	0.3070859	0.3070859	0.3070859	0.19634666	0.19634666	0.19634666	0.16637552	0.16637552	0.16637552	0.17095399	0.17095399	0.17095399	0.17757936	0.17757936	0.17757936	0.16995971	0.16995971	0.16995971	0.17627253	0.17627253	0.17627253	0.16617796	0.16617796	0.16617796	0.20096824	0.20096824	0.20096824	0.19673224	0.19673224	0.19673224	0.16312172	0.16312172	0.16312172
sb196_B4	0.20187886	0.20187886	0.20187886	0.29432234	0.29432234	0.29432234	0.29646686	0.29646686	0.29646686	0.19959897	0.19959897	0.19959897	0.1890567	0.1890567	0.1890567	0.16531815	0.16531815	0.16531815	0.19641915	0.19641915	0.19641915	0.20196584	0.20196584	0.20196584	0.17327939	0.17327939	0.17327939	0.17062484	0.17062484	0.17062484	0	0	0	0.18154748	0.18154748	0.18154748	0.19154263	0.19154263	0.19154263	0.31353596	0.31353596	0.31353596	0.20315132	0.20315132	0.20315132	0.17645773	0.17645773	0.17645773	0.17838895	0.17838895	0.17838895	0.1864377	0.1864377	0.1864377	0.17687808	0.17687808	0.17687808	0.18362126	0.18362126	0.18362126	0.17433877	0.17433877	0.17433877	0.19854525	0.19854525	0.19854525	0.20008643	0.20008643	0.20008643	0.16921854	0.16921854	0.16921854
sb196_B5	0.20187886	0.20187886	0.20187886	0.29432234	0.29432234	0.29432234	0.29646686	0.29646686	0.29646686	0.19959897	0.19959897	0.19959897	0.1890567	0.1890567	0.1890567	0.16531815	0.16531815	0.16531815	0.19641915	0.19641915	0.19641915	0.20196584	0.20196584	0.20196584	0.17327939	0.17327939	0.17327939	0.17062484	0.17062484	0.17062484	0	0	0	0.18154748	0.18154748	0.18154748	0.19154263	0.19154263	0.19154263	0.31353596	0.31353596	0.31353596	0.20315132	0.20315132	0.20315132	0.17645773	0.17645773	0.17645773	0.17838895	0.17838895	0.17838895	0.1864377	0.1864377	0.1864377	0.17687808	0.17687808	0.17687808	0.18362126	0.18362126	0.18362126	0.17433877	0.17433877	0.17433877	0.19854525	0.19854525	0.19854525	0.20008643	0.20008643	0.20008643	0.16921854	0.16921854	0.16921854
sb196_B6	0.20187886	0.20187886	0.20187886	0.29432234	0.29432234	0.29432234	0.29646686	0.29646686	0.29646686	0.19959897	0.19959897	0.19959897	0.1890567	0.1890567	0.1890567	0.16531815	0.16531815	0.16531815	0.19641915	0.19641915	0.19641915	0.20196584	0.20196584	0.20196584	0.17327939	0.17327939	0.17327939	0.17062484	0.17062484	0.17062484	0	0	0	0.18154748	0.18154748	0.18154748	0.19154263	0.19154263	0.19154263	0.31353596	0.31353596	0.31353596	0.20315132	0.20315132	0.20315132	0.17645773	0.17645773	0.17645773	0.17838895	0.17838895	0.17838895	0.1864377	0.1864377	0.1864377	0.17687808	0.17687808	0.17687808	0.18362126	0.18362126	0.18362126	0.17433877	0.17433877	0.17433877	0.19854525	0.19854525	0.19854525	0.20008643	0.20008643	0.20008643	0.16921854	0.16921854	0.16921854
sb201_B4	0.20792569	0.20792569	0.20792569	0.28369367	0.28369367	0.28369367	0.29537016	0.29537016	0.29537016	0.20275797	0.20275797	0.20275797	0.20573503	0.20573503	0.20573503	0.18073796	0.18073796	0.18073796	0.20090891	0.20090891	0.20090891	0.21812966	0.21812966	0.21812966	0.089408286	0.089408286	0.089408286	0.16388154	0.16388154	0.16388154	0.18154748	0.18154748	0.18154748	0	0	0	0.19722906	0.19722906	0.19722906	0.31558025	0.31558025	0.31558025	0.21407378	0.21407378	0.21407378	0.12364849	0.12364849	0.12364849	0.12337178	0.12337178	0.12337178	0.1617031	0.1617031	0.1617031	0.13346624	0.13346624	0.13346624	0.14628072	0.14628072	0.14628072	0.14179942	0.14179942	0.14179942	0.1991509	0.1991509	0.1991509	0.19805618	0.19805618	0.19805618	0.13503058	0.13503058	0.13503058
sb201_B5	0.20792569	0.20792569	0.20792569	0.28369367	0.28369367	0.28369367	0.29537016	0.29537016	0.29537016	0.20275797	0.20275797	0.20275797	0.20573503	0.20573503	0.20573503	0.18073796	0.18073796	0.18073796	0.20090891	0.20090891	0.20090891	0.21812966	0.21812966	0.21812966	0.089408286	0.089408286	0.089408286	0.16388154	0.16388154	0.16388154	0.18154748	0.18154748	0.18154748	0	0	0	0.19722906	0.19722906	0.19722906	0.31558025	0.31558025	0.31558025	0.21407378	0.21407378	0.21407378	0.12364849	0.12364849	0.12364849	0.12337178	0.12337178	0.12337178	0.1617031	0.1617031	0.1617031	0.13346624	0.13346624	0.13346624	0.14628072	0.14628072	0.14628072	0.14179942	0.14179942	0.14179942	0.1991509	0.1991509	0.1991509	0.19805618	0.19805618	0.19805618	0.13503058	0.13503058	0.13503058
sb201_B6	0.20792569	0.20792569	0.20792569	0.28369367	0.28369367	0.28369367	0.29537016	0.29537016	0.29537016	0.20275797	0.20275797	0.20275797	0.20573503	0.20573503	0.20573503	0.18073796	0.18073796	0.18073796	0.20090891	0.20090891	0.20090891	0.21812966	0.21812966	0.21812966	0.089408286	0.089408286	0.089408286	0.16388154	0.16388154	0.16388154	0.18154748	0.18154748	0.18154748	0	0	0	0.19722906	0.19722906	0.19722906	0.31558025	0.31558025	0.31558025	0.21407378	0.21407378	0.21407378	0.12364849	0.12364849	0.12364849	0.12337178	0.12337178	0.12337178	0.1617031	0.1617031	0.1617031	0.13346624	0.13346624	0.13346624	0.14628072	0.14628072	0.14628072	0.14179942	0.14179942	0.14179942	0.1991509	0.1991509	0.1991509	0.19805618	0.19805618	0.19805618	0.13503058	0.13503058	0.13503058
sb212_B4	0.15872401	0.15872401	0.15872401	0.27068004	0.27068004	0.27068004	0.28431213	0.28431213	0.28431213	0.07062896	0.07062896	0.07062896	0.077430494	0.077430494	0.077430494	0.18013662	0.18013662	0.18013662	0.19941455	0.19941455	0.19941455	0.16491607	0.16491607	0.16491607	0.19818634	0.19818634	0.19818634	0.19050601	0.19050601	0.19050601	0.19154263	0.19154263	0.19154263	0.19722906	0.19722906	0.19722906	0	0	0	0.3066458	0.3066458	0.3066458	0.15590073	0.15590073	0.15590073	0.20298517	0.20298517	0.20298517	0.2075186	0.2075186	0.2075186	0.18090367	0.18090367	0.18090367	0.20202057	0.20202057	0.20202057	0.20777647	0.20777647	0.20777647	0.18914247	0.18914247	0.18914247	0.21570517	0.21570517	0.21570517	0.20530143	0.20530143	0.20530143	0.19277164	0.19277164	0.19277164
sb212_B5	0.15872401	0.15872401	0.15872401	0.27068004	0.27068004	0.27068004	0.28431213	0.28431213	0.28431213	0.07062896	0.07062896	0.07062896	0.077430494	0.077430494	0.077430494	0.18013662	0.18013662	0.18013662	0.19941455	0.19941455	0.19941455	0.16491607	0.16491607	0.16491607	0.19818634	0.19818634	0.19818634	0.19050601	0.19050601	0.19050601	0.19154263	0.19154263	0.19154263	0.19722906	0.19722906	0.19722906	0	0	0	0.3066458	0.3066458	0.3066458	0.15590073	0.15590073	0.15590073	0.20298517	0.20298517	0.20298517	0.2075186	0.2075186	0.2075186	0.18090367	0.18090367	0.18090367	0.20202057	0.20202057	0.20202057	0.20777647	0.20777647	0.20777647	0.18914247	0.18914247	0.18914247	0.21570517	0.21570517	0.21570517	0.20530143	0.20530143	0.20530143	0.19277164	0.19277164	0.19277164
sb212_B6	0.15872401	0.15872401	0.15872401	0.27068004	0.27068004	0.27068004	0.28431213	0.28431213	0.28431213	0.07062896	0.07062896	0.07062896	0.077430494	0.077430494	0.077430494	0.18013662	0.18013662	0.18013662	0.19941455	0.19941455	0.19941455	0.16491607	0.16491607	0.16491607	0.19818634	0.19818634	0.19818634	0.19050601	0.19050601	0.19050601	0.19154263	0.19154263	0.19154263	0.19722906	0.19722906	0.19722906	0	0	0	0.3066458	0.3066458	0.3066458	0.15590073	0.15590073	0.15590073	0.20298517	0.20298517	0.20298517	0.2075186	0.2075186	0.2075186	0.18090367	0.18090367	0.18090367	0.20202057	0.20202057	0.20202057	0.20777647	0.20777647	0.20777647	0.18914247	0.18914247	0.18914247	0.21570517	0.21570517	0.21570517	0.20530143	0.20530143	0.20530143	0.19277164	0.19277164	0.19277164
sb235_B4	0.2957747	0.2957747	0.2957747	0.062460802	0.062460802	0.062460802	0.0872995	0.0872995	0.0872995	0.303605	0.303605	0.303605	0.30612364	0.30612364	0.30612364	0.30737695	0.30737695	0.30737695	0.28737402	0.28737402	0.28737402	0.3021623	0.3021623	0.3021623	0.31455126	0.31455126	0.31455126	0.3070859	0.3070859	0.3070859	0.31353596	0.31353596	0.31353596	0.31558025	0.31558025	0.31558025	0.3066458	0.3066458	0.3066458	0	0	0	0.30065775	0.30065775	0.30065775	0.31541514	0.31541514	0.31541514	0.31577602	0.31577602	0.31577602	0.30917194	0.30917194	0.30917194	0.31242058	0.31242058	0.31242058	0.29434434	0.29434434	0.29434434	0.30617672	0.30617672	0.30617672	0.29243976	0.29243976	0.29243976	0.2888362	0.2888362	0.2888362	0.30986938	0.30986938	0.30986938
sb235_B5	0.2957747	0.2957747	0.2957747	0.062460802	0.062460802	0.062460802	0.0872995	0.0872995	0.0872995	0.303605	0.303605	0.303605	0.30612364	0.30612364	0.30612364	0.30737695	0.30737695	0.30737695	0.28737402	0.28737402	0.28737402	0.3021623	0.3021623	0.3021623	0.31455126	0.31455126	0.31455126	0.3070859	0.3070859	0.3070859	0.31353596	0.31353596	0.31353596	0.31558025	0.31558025	0.31558025	0.3066458	0.3066458	0.3066458	0	0	0	0.30065775	0.30065775	0.30065775	0.31541514	0.31541514	0.31541514	0.31577602	0.31577602	0.31577602	0.30917194	0.30917194	0.30917194	0.31242058	0.31242058	0.31242058	0.29434434	0.29434434	0.29434434	0.30617672	0.30617672	0.30617672	0.29243976	0.29243976	0.29243976	0.2888362	0.2888362	0.2888362	0.30986938	0.30986938	0.30986938
sb235_B6	0.2957747	0.2957747	0.2957747	0.062460802	0.062460802	0.062460802	0.0872995	0.0872995	0.0872995	0.303605	0.303605	0.303605	0.30612364	0.30612364	0.30612364	0.30737695	0.30737695	0.30737695	0.28737402	0.28737402	0.28737402	0.3021623	0.3021623	0.3021623	0.31455126	0.31455126	0.31455126	0.3070859	0.3070859	0.3070859	0.31353596	0.31353596	0.31353596	0.31558025	0.31558025	0.31558025	0.3066458	0.3066458	0.3066458	0	0	0	0.30065775	0.30065775	0.30065775	0.31541514	0.31541514	0.31541514	0.31577602	0.31577602	0.31577602	0.30917194	0.30917194	0.30917194	0.31242058	0.31242058	0.31242058	0.29434434	0.29434434	0.29434434	0.30617672	0.30617672	0.30617672	0.29243976	0.29243976	0.29243976	0.2888362	0.2888362	0.2888362	0.30986938	0.30986938	0.30986938
sb258_B4	0.05422188	0.05422188	0.05422188	0.27896062	0.27896062	0.27896062	0.2881176	0.2881176	0.2881176	0.15426768	0.15426768	0.15426768	0.15369883	0.15369883	0.15369883	0.18675761	0.18675761	0.18675761	0.2134992	0.2134992	0.2134992	0.059350926	0.059350926	0.059350926	0.20987298	0.20987298	0.20987298	0.19634666	0.19634666	0.19634666	0.20315132	0.20315132	0.20315132	0.21407378	0.21407378	0.21407378	0.15590073	0.15590073	0.15590073	0.30065775	0.30065775	0.30065775	0	0	0	0.21731633	0.21731633	0.21731633	0.22382453	0.22382453	0.22382453	0.15524304	0.15524304	0.15524304	0.21741809	0.21741809	0.21741809	0.21155266	0.21155266	0.21155266	0.1834513	0.1834513	0.1834513	0.2259686	0.2259686	0.2259686	0.2165164	0.2165164	0.2165164	0.19181123	0.19181123	0.19181123
sb258_B5	0.05422188	0.05422188	0.05422188	0.27896062	0.27896062	0.27896062	0.2881176	0.2881176	0.2881176	0.15426768	0.15426768	0.15426768	0.15369883	0.15369883	0.15369883	0.18675761	0.18675761	0.18675761	0.2134992	0.2134992	0.2134992	0.059350926	0.059350926	0.059350926	0.20987298	0.20987298	0.20987298	0.19634666	0.19634666	0.19634666	0.20315132	0.20315132	0.20315132	0.21407378	0.21407378	0.21407378	0.15590073	0.15590073	0.15590073	0.30065775	0.30065775	0.30065775	0	0	0	0.21731633	0.21731633	0.21731633	0.22382453	0.22382453	0.22382453	0.15524304	0.15524304	0.15524304	0.21741809	0.21741809	0.21741809	0.21155266	0.21155266	0.21155266	0.1834513	0.1834513	0.1834513	0.2259686	0.2259686	0.2259686	0.2165164	0.2165164	0.2165164	0.19181123	0.19181123	0.19181123
sb258_B6	0.05422188	0.05422188	0.05422188	0.27896062	0.27896062	0.27896062	0.2881176	0.2881176	0.2881176	0.15426768	0.15426768	0.15426768	0.15369883	0.15369883	0.15369883	0.18675761	0.18675761	0.18675761	0.2134992	0.2134992	0.2134992	0.059350926	0.059350926	0.059350926	0.20987298	0.20987298	0.20987298	0.19634666	0.19634666	0.19634666	0.20315132	0.20315132	0.20315132	0.21407378	0.21407378	0.21407378	0.15590073	0.15590073	0.15590073	0.30065775	0.30065775	0.30065775	0	0	0	0.21731633	0.21731633	0.21731633	0.22382453	0.22382453	0.22382453	0.15524304	0.15524304	0.15524304	0.21741809	0.21741809	0.21741809	0.21155266	0.21155266	0.21155266	0.1834513	0.1834513	0.1834513	0.2259686	0.2259686	0.2259686	0.2165164	0.2165164	0.2165164	0.19181123	0.19181123	0.19181123
sb316_B4	0.2136179	0.2136179	0.2136179	0.29266778	0.29266778	0.29266778	0.30260566	0.30260566	0.30260566	0.20276505	0.20276505	0.20276505	0.20543776	0.20543776	0.20543776	0.17845741	0.17845741	0.17845741	0.19987941	0.19987941	0.19987941	0.21935637	0.21935637	0.21935637	0.120029524	0.120029524	0.120029524	0.16637552	0.16637552	0.16637552	0.17645773	0.17645773	0.17645773	0.12364849	0.12364849	0.12364849	0.20298517	0.20298517	0.20298517	0.31541514	0.31541514	0.31541514	0.21731633	0.21731633	0.21731633	0	0	0	0.0497411	0.0497411	0.0497411	0.13781263	0.13781263	0.13781263	0.061302528	0.061302528	0.061302528	0.15821573	0.15821573	0.15821573	0.13566694	0.13566694	0.13566694	0.20279807	0.20279807	0.20279807	0.20259072	0.20259072	0.20259072	0.1379886	0.1379886	0.1379886
sb316_B5	0.2136179	0.2136179	0.2136179	0.29266778	0.29266778	0.29266778	0.30260566	0.30260566	0.30260566	0.20276505	0.20276505	0.20276505	0.20543776	0.20543776	0.20543776	0.17845741	0.17845741	0.17845741	0.19987941	0.19987941	0.19987941	0.21935637	0.21935637	0.21935637	0.120029524	0.120029524	0.120029524	0.16637552	0.16637552	0.16637552	0.17645773	0.17645773	0.17645773	0.12364849	0.12364849	0.12364849	0.20298517	0.20298517	0.20298517	0.31541514	0.31541514	0.31541514	0.21731633	0.21731633	0.21731633	0	0	0	0.0497411	0.0497411	0.0497411	0.13781263	0.13781263	0.13781263	0.061302528	0.061302528	0.061302528	0.15821573	0.15821573	0.15821573	0.13566694	0.13566694	0.13566694	0.20279807	0.20279807	0.20279807	0.20259072	0.20259072	0.20259072	0.1379886	0.1379886	0.1379886
sb316_B6	0.2136179	0.2136179	0.2136179	0.29266778	0.29266778	0.29266778	0.30260566	0.30260566	0.30260566	0.20276505	0.20276505	0.20276505	0.20543776	0.20543776	0.20543776	0.17845741	0.17845741	0.17845741	0.19987941	0.19987941	0.19987941	0.21935637	0.21935637	0.21935637	0.120029524	0.120029524	0.120029524	0.16637552	0.16637552	0.16637552	0.17645773	0.17645773	0.17645773	0.12364849	0.12364849	0.12364849	0.20298517	0.20298517	0.20298517	0.31541514	0.31541514	0.31541514	0.21731633	0.21731633	0.21731633	0	0	0	0.0497411	0.0497411	0.0497411	0.13781263	0.13781263	0.13781263	0.061302528	0.061302528	0.061302528	0.15821573	0.15821573	0.15821573	0.13566694	0.13566694	0.13566694	0.20279807	0.20279807	0.20279807	0.20259072	0.20259072	0.20259072	0.1379886	0.1379886	0.1379886
sb325_B4	0.21785855	0.21785855	0.21785855	0.2964497	0.2964497	0.2964497	0.30472127	0.30472127	0.30472127	0.21007213	0.21007213	0.21007213	0.21816155	0.21816155	0.21816155	0.18447836	0.18447836	0.18447836	0.20661402	0.20661402	0.20661402	0.22633387	0.22633387	0.22633387	0.12409528	0.12409528	0.12409528	0.17095399	0.17095399	0.17095399	0.17838895	0.17838895	0.17838895	0.12337178	0.12337178	0.12337178	0.2075186	0.2075186	0.2075186	0.31577602	0.31577602	0.31577602	0.22382453	0.22382453	0.22382453	0.0497411	0.0497411	0.0497411	0	0	0	0.14453526	0.14453526	0.14453526	0.061715078	0.061715078	0.061715078	0.16206399	0.16206399	0.16206399	0.14214791	0.14214791	0.14214791	0.20731284	0.20731284	0.20731284	0.20824821	0.20824821	0.20824821	0.13674797	0.13674797	0.13674797
sb325_B5	0.21785855	0.21785855	0.21785855	0.2964497	0.2964497	0.2964497	0.30472127	0.30472127	0.30472127	0.21007213	0.21007213	0.21007213	0.21816155	0.21816155	0.21816155	0.18447836	0.18447836	0.18447836	0.20661402	0.20661402	0.20661402	0.22633387	0.22633387	0.22633387	0.12409528	0.12409528	0.12409528	0.17095399	0.17095399	0.17095399	0.17838895	0.17838895	0.17838895	0.12337178	0.12337178	0.12337178	0.2075186	0.2075186	0.2075186	0.31577602	0.31577602	0.31577602	0.22382453	0.22382453	0.22382453	0.0497411	0.0497411	0.0497411	0	0	0	0.14453526	0.14453526	0.14453526	0.061715078	0.061715078	0.061715078	0.16206399	0.16206399	0.16206399	0.14214791	0.14214791	0.14214791	0.20731284	0.20731284	0.20731284	0.20824821	0.20824821	0.20824821	0.13674797	0.13674797	0.13674797
sb325_B6	0.21785855	0.21785855	0.21785855	0.2964497	0.2964497	0.2964497	0.30472127	0.30472127	0.30472127	0.21007213	0.21007213	0.21007213	0.21816155	0.21816155	0.21816155	0.18447836	0.18447836	0.18447836	0.20661402	0.20661402	0.20661402	0.22633387	0.22633387	0.22633387	0.12409528	0.12409528	0.12409528	0.17095399	0.17095399	0.17095399	0.17838895	0.17838895	0.17838895	0.12337178	0.12337178	0.12337178	0.2075186	0.2075186	0.2075186	0.31577602	0.31577602	0.31577602	0.22382453	0.22382453	0.22382453	0.0497411	0.0497411	0.0497411	0	0	0	0.14453526	0.14453526	0.14453526	0.061715078	0.061715078	0.061715078	0.16206399	0.16206399	0.16206399	0.14214791	0.14214791	0.14214791	0.20731284	0.20731284	0.20731284	0.20824821	0.20824821	0.20824821	0.13674797	0.13674797	0.13674797
