	sb6_B4	sb6_B5	sb6_B6	sb42_B4	sb42_B5	sb42_B6	sb41_B4	sb41_B5	sb41_B6	sb46_B4	sb46_B5	sb46_B6	sb48_B4	sb48_B5	sb48_B6	sb64_B4	sb64_B5	sb64_B6	sb112_B4	sb112_B5	sb112_B6	sb163_B4	sb163_B5	sb163_B6	sb181_B4	sb181_B5	sb181_B6	sb184_B4	sb184_B5	sb184_B6	sb196_B4	sb196_B5	sb196_B6	sb201_B4	sb201_B5	sb201_B6	sb212_B4	sb212_B5	sb212_B6	sb235_B4	sb235_B5	sb235_B6	sb258_B4	sb258_B5	sb258_B6	sb316_B4	sb316_B5	sb316_B6	sb325_B4	sb325_B5	sb325_B6	sb334_B4	sb334_B5	sb334_B6	sb337_B4	sb337_B5	sb337_B6	sb363_B4	sb363_B5	sb363_B6	sb366_B4	sb366_B5	sb366_B6	sb374_B4	sb374_B5	sb374_B6	sb375_B4	sb375_B5	sb375_B6	sb399_B4	sb399_B5	sb399_B6
sb46_B5	0.15540522	0.15540522	0.15540522	0.2777511	0.2777511	0.2777511	0.29097152	0.29097152	0.29097152	0	0	0	0.08837454	0.08837454	0.08837454	0.18116012	0.18116012	0.18116012	0.20813827	0.20813827	0.20813827	0.15606815	0.15606815	0.15606815	0.20167533	0.20167533	0.20167533	0.19152376	0.19152376	0.19152376	0.19959897	0.19959897	0.19959897	0.20275797	0.20275797	0.20275797	0.07062896	0.07062896	0.07062896	0.303605	0.303605	0.303605	0.15426768	0.15426768	0.15426768	0.20276505	0.20276505	0.20276505	0.21007213	0.21007213	0.21007213	0.18401259	0.18401259	0.18401259	0.19995941	0.19995941	0.19995941	0.20851488	0.20851488	0.20851488	0.19544777	0.19544777	0.19544777	0.22329108	0.22329108	0.22329108	0.20985618	0.20985618	0.20985618	0.190751	0.190751	0.190751
sb46_B6	0.15540522	0.15540522	0.15540522	0.2777511	0.2777511	0.2777511	0.29097152	0.29097152	0.29097152	0	0	0	0.08837454	0.08837454	0.08837454	0.18116012	0.18116012	0.18116012	0.20813827	0.20813827	0.20813827	0.15606815	0.15606815	0.15606815	0.20167533	0.20167533	0.20167533	0.19152376	0.19152376	0.19152376	0.19959897	0.19959897	0.19959897	0.20275797	0.20275797	0.20275797	0.07062896	0.07062896	0.07062896	0.303605	0.303605	0.303605	0.15426768	0.15426768	0.15426768	0.20276505	0.20276505	0.20276505	0.21007213	0.21007213	0.21007213	0.18401259	0.18401259	0.18401259	0.19995941	0.19995941	0.19995941	0.20851488	0.20851488	0.20851488	0.19544777	0.19544777	0.19544777	0.22329108	0.22329108	0.22329108	0.20985618	0.20985618	0.20985618	0.190751	0.190751	0.190751
sb48_B4	0.15655504	0.15655504	0.15655504	0.28444853	0.28444853	0.28444853	0.29203653	0.29203653	0.29203653	0.08837454	0.08837454	0.08837454	0	0	0	0.18906666	0.18906666	0.18906666	0.20242308	0.20242308	0.20242308	0.15513551	0.15513551	0.15513551	0.19733828	0.19733828	0.19733828	0.19249552	0.19249552	0.19249552	0.1890567	0.1890567	0.1890567	0.20573503	0.20573503	0.20573503	0.077430494	0.077430494	0.077430494	0.30612364	0.30612364	0.30612364	0.15369883	0.15369883	0.15369883	0.20543776	0.20543776	0.20543776	0.21816155	0.21816155	0.21816155	0.18270844	0.18270844	0.18270844	0.20766588	0.20766588	0.20766588	0.2004994	0.2004994	0.2004994	0.1825813	0.1825813	0.1825813	0.21709508	0.21709508	0.21709508	0.20428543	0.20428543	0.20428543	0.20179528	0.20179528	0.20179528
sb48_B5	0.15655504	0.15655504	0.15655504	0.28444853	0.28444853	0.28444853	0.29203653	0.29203653	0.29203653	0.08837454	0.08837454	0.08837454	0	0	0	0.18906666	0.18906666	0.18906666	0.20242308	0.20242308	0.20242308	0.15513551	0.15513551	0.15513551	0.19733828	0.19733828	0.19733828	0.19249552	0.19249552	0.19249552	0.1890567	0.1890567	0.1890567	0.20573503	0.20573503	0.20573503	0.077430494	0.077430494	0.077430494	0.30612364	0.30612364	0.30612364	0.15369883	0.15369883	0.15369883	0.20543776	0.20543776	0.20543776	0.21816155	0.21816155	0.21816155	0.18270844	0.18270844	0.18270844	0.20766588	0.20766588	0.20766588	0.2004994	0.2004994	0.2004994	0.1825813	0.1825813	0.1825813	0.21709508	0.21709508	0.21709508	0.20428543	0.20428543	0.20428543	0.20179528	0.20179528	0.20179528
sb48_B6	0.15655504	0.15655504	0.15655504	0.28444853	0.28444853	0.28444853	0.29203653	0.29203653	0.29203653	0.08837454	0.08837454	0.08837454	0	0	0	0.18906666	0.18906666	0.18906666	0.20242308	0.20242308	0.20242308	0.15513551	0.15513551	0.15513551	0.19733828	0.19733828	0.19733828	0.19249552	0.19249552	0.19249552	0.1890567	0.1890567	0.1890567	0.20573503	0.20573503	0.20573503	0.077430494	0.077430494	0.077430494	0.30612364	0.30612364	0.30612364	0.15369883	0.15369883	0.15369883	0.20543776	0.20543776	0.20543776	0.21816155	0.21816155	0.21816155	0.18270844	0.18270844	0.18270844	0.20766588	0.20766588	0.20766588	0.2004994	0.2004994	0.2004994	0.1825813	0.1825813	0.1825813	0.21709508	0.21709508	0.21709508	0.20428543	0.20428543	0.20428543	0.20179528	0.20179528	0.20179528
sb64_B4	0.18283372	0.18283372	0.18283372	0.27602863	0.27602863	0.27602863	0.28545034	0.28545034	0.28545034	0.18116012	0.18116012	0.18116012	0.18906666	0.18906666	0.18906666	0	0	0	0.19511618	0.19511618	0.19511618	0.18751448	0.18751448	0.18751448	0.1676193	0.1676193	0.1676193	0.14581487	0.14581487	0.14581487	0.16531815	0.16531815	0.16531815	0.18073796	0.18073796	0.18073796	0.18013662	0.18013662	0.18013662	0.30737695	0.30737695	0.30737695	0.18675761	0.18675761	0.18675761	0.17845741	0.17845741	0.17845741	0.18447836	0.18447836	0.18447836	0.17453766	0.17453766	0.17453766	0.17693636	0.17693636	0.17693636	0.18306583	0.18306583	0.18306583	0.16612728	0.16612728	0.16612728	0.20194328	0.20194328	0.20194328	0.1951451	0.1951451	0.1951451	0.15723573	0.15723573	0.15723573
sb64_B5	0.18283372	0.18283372	0.18283372	0.27602863	0.27602863	0.27602863	0.28545034	0.28545034	0.28545034	0.18116012	0.18116012	0.18116012	0.18906666	0.18906666	0.18906666	0	0	0	0.19511618	0.19511618	0.19511618	0.18751448	0.18751448	0.18751448	0.1676193	0.1676193	0.1676193	0.14581487	0.14581487	0.14581487	0.16531815	0.16531815	0.16531815	0.18073796	0.18073796	0.18073796	0.18013662	0.18013662	0.18013662	0.30737695	0.30737695	0.30737695	0.18675761	0.18675761	0.18675761	0.17845741	0.17845741	0.17845741	0.18447836	0.18447836	0.18447836	0.17453766	0.17453766	0.17453766	0.17693636	0.17693636	0.17693636	0.18306583	0.18306583	0.18306583	0.16612728	0.16612728	0.16612728	0.20194328	0.20194328	0.20194328	0.1951451	0.1951451	0.1951451	0.15723573	0.15723573	0.15723573
sb64_B6	0.18283372	0.18283372	0.18283372	0.27602863	0.27602863	0.27602863	0.28545034	0.28545034	0.28545034	0.18116012	0.18116012	0.18116012	0.18906666	0.18906666	0.18906666	0	0	0	0.19511618	0.19511618	0.19511618	0.18751448	0.18751448	0.18751448	0.1676193	0.1676193	0.1676193	0.14581487	0.14581487	0.14581487	0.16531815	0.16531815	0.16531815	0.18073796	0.18073796	0.18073796	0.18013662	0.18013662	0.18013662	0.30737695	0.30737695	0.30737695	0.18675761	0.18675761	0.18675761	0.17845741	0.17845741	0.17845741	0.18447836	0.18447836	0.18447836	0.17453766	0.17453766	0.17453766	0.17693636	0.17693636	0.17693636	0.18306583	0.18306583	0.18306583	0.16612728	0.16612728	0.16612728	0.20194328	0.20194328	0.20194328	0.1951451	0.1951451	0.1951451	0.15723573	0.15723573	0.15723573
sb112_B4	0.20886615	0.20886615	0.20886615	0.2529032	0.2529032	0.2529032	0.26256835	0.26256835	0.26256835	0.20813827	0.20813827	0.20813827	0.20242308	0.20242308	0.20242308	0.19511618	0.19511618	0.19511618	0	0	0	0.21314323	0.21314323	0.21314323	0.20010994	0.20010994	0.20010994	0.1963527	0.1963527	0.1963527	0.19641915	0.19641915	0.19641915	0.20090891	0.20090891	0.20090891	0.19941455	0.19941455	0.19941455	0.28737402	0.28737402	0.28737402	0.2134992	0.2134992	0.2134992	0.19987941	0.19987941	0.19987941	0.20661402	0.20661402	0.20661402	0.20694235	0.20694235	0.20694235	0.20224382	0.20224382	0.20224382	0.19869447	0.19869447	0.19869447	0.17594685	0.17594685	0.17594685	0.07465693	0.07465693	0.07465693	0.07448131	0.07448131	0.07448131	0.20248313	0.20248313	0.20248313
sb112_B5	0.20886615	0.20886615	0.20886615	0.2529032	0.2529032	0.2529032	0.26256835	0.26256835	0.26256835	0.20813827	0.20813827	0.20813827	0.20242308	0.20242308	0.20242308	0.19511618	0.19511618	0.19511618	0	0	0	0.21314323	0.21314323	0.21314323	0.20010994	0.20010994	0.20010994	0.1963527	0.1963527	0.1963527	0.19641915	0.19641915	0.19641915	0.20090891	0.20090891	0.20090891	0.19941455	0.19941455	0.19941455	0.28737402	0.28737402	0.28737402	0.2134992	0.2134992	0.2134992	0.19987941	0.19987941	0.19987941	0.20661402	0.20661402	0.20661402	0.20694235	0.20694235	0.20694235	0.20224382	0.20224382	0.20224382	0.19869447	0.19869447	0.19869447	0.17594685	0.17594685	0.17594685	0.07465693	0.07465693	0.07465693	0.07448131	0.07448131	0.07448131	0.20248313	0.20248313	0.20248313
